commit date git,commit sha,jira_id,affected versions,fixed version
2015-05-24T17:07:20Z,4cd6f5dc673497b83c56873f007f61e405f40f2a,SYNCOPE-671,[1.2.4],[1.2.5  2.0.0-M1],2015-05-24T16:17:22.000+0000
2015-05-24T16:27:31Z,4c90ea872d43831e4ee593cb7b39306232b477cf,SYNCOPE-671,[1.2.4],[1.2.5  2.0.0-M1],2015-05-24T16:17:22.000+0000
2015-05-22T10:24:30Z,22a9e12e5e001de4926deb9052ba28bd98a85d62,SYNCOPE-670,[1.2.4],[1.2.5  2.0.0-M1],2015-05-21T14:40:41.000+0000
2015-05-22T09:42:16Z,15cca152d4abdfa42fe31a5f00f9c848cf31548b,SYNCOPE-670,[1.2.4],[1.2.5  2.0.0-M1],2015-05-21T14:40:41.000+0000
2015-05-21T15:09:57Z,d19133ef55221978395a1a933c03a8ba91018f12,SYNCOPE-669,[1.2.4],[1.2.5  2.0.0-M1],2015-05-21T13:09:43.000+0000
2015-05-21T15:06:00Z,b68778e3482ac4cfae11112d897d8c56333ef4fe,SYNCOPE-669,[1.2.4],[1.2.5  2.0.0-M1],2015-05-21T13:09:43.000+0000
2015-05-20T10:41:53Z,1d6451b5c4178e7d5a368d10af6df82055d95386,SYNCOPE-668,[1.2.4],[1.2.5  2.0.0-M1],2015-05-19T15:41:31.000+0000
2015-05-04T15:57:09Z,496a02a51547f2ba4a48d54bee7a8a4de48df076,SYNCOPE-664,[1.2.3],[1.2.4  2.0.0-M1],2015-05-04T14:57:16.000+0000
2015-05-04T15:50:01Z,b81cea711945ea7e5133371d9f06c42c398650b2,SYNCOPE-664,[1.2.3],[1.2.4  2.0.0-M1],2015-05-04T14:57:16.000+0000
2015-04-16T06:57:17Z,945158788e094be5a0a6b2a25113465b54940999,SYNCOPE-659,[1.2.3],[1.2.4  2.0.0-M1],2015-04-15T07:57:38.000+0000
2015-04-14T09:46:29Z,5cb056fe994910f5ced31c57e6e14987dbaac795,SYNCOPE-658,[1.2.3],[1.2.4  2.0.0-M1],2015-04-10T15:02:07.000+0000
2015-04-14T09:21:48Z,3202846298bfd44060f7a417c9102e05cbe81ecf,SYNCOPE-658,[1.2.3],[1.2.4  2.0.0-M1],2015-04-10T15:02:07.000+0000
2015-04-13T08:01:57Z,6896c460fb3f6149221307fa2c27021141b03ad2,SYNCOPE-658,[1.2.3],[1.2.4  2.0.0-M1],2015-04-10T15:02:07.000+0000
2015-04-02T07:48:33Z,f76826f6e521aa7ca227fdbe135f3a6771161eab,SYNCOPE-656,[1.2.3],[1.2.4  2.0.0-M1],2015-04-02T07:34:46.000+0000
2015-04-02T07:44:05Z,aea1c879b78630956d5a54fdb7b0449a2df3fcfc,SYNCOPE-656,[1.2.3],[1.2.4  2.0.0-M1],2015-04-02T07:34:46.000+0000
