"versione","file","LOC Touched","LOC added","Max LOC added","Avg LOC added","Churn","Max churn","Avg churn","Change set size","Max change set","Avg change set"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java","0","0","0","0.0","0","0","0.0","0","0","0.0","YES"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java","0","0","0","0.0","0","0","0.0","0","0","0.0","YES"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java","0","0","0","0.0","0","0","0.0","0","0","0.0","YES"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java","0","0","0","0.0","0","0","0.0","0","0","0.0","YES"
