commit date,commit sha,jira_id
2018-01-30T15:52:04Z,f278a97a2935bcc982881483aa3cba005d94de88,SYNCOPE-1266
2018-01-30T15:45:43Z,847167650d22669f0e254752c4fecf3525512631,SYNCOPE-1266
2018-01-29T15:39:41Z,78af1481312217b78cb41bd1dc292c6e25324c23,SYNCOPE-1265
2018-01-26T13:04:06Z,48cc9d6acda6bc28fdfca1a73a3d4f8df2e4460a,SYNCOPE-1262
2018-01-25T08:01:47Z,046c354bd61f9889d7e59b71e0fe550d428e6ed3,SYNCOPE-1262
2018-01-22T10:43:05Z,520cdca7cd744dc6919c8d28acabe58fc5b19491,SYNCOPE-1263
2018-01-22T10:36:39Z,227f085161f3027d1ab200a07d8460f3a644b75f,SYNCOPE-1263
2018-01-16T11:14:53Z,828d1bc1d364c96ab149eb96049cc577348a3ee9,SYNCOPE-1249
2018-01-08T13:15:49Z,4f005ef8f5d33d9a38c169826973731012bf3eff,SYNCOPE-1262
2018-01-05T10:55:02Z,a8dd6b794e85488e2281de4a2027d727fcdbd061,SYNCOPE-1262
2018-01-04T07:26:17Z,e968391329134076a5db9ee24e187993035f467e,SYNCOPE-1259
2018-01-04T07:15:32Z,e153982e45918bfb3454c193c87d1a784ee415cb,SYNCOPE-1261
2018-01-03T07:34:38Z,2ff7745e14970d527ce52f0f4f08faef48eb4dbb,SYNCOPE-1259
2017-12-28T13:19:00Z,92f4d703850002f9ead3c91d0f05dbf2f889c865,SYNCOPE-1257
2017-12-21T19:01:16Z,f5905afc133ab3cfa79e3689ed936422608ca9ec,SYNCOPE-1255
2017-12-18T19:26:03Z,9c381eb19761b7f768c1c7c06f529794c15e72ec,SYNCOPE-1252
2017-12-18T13:44:16Z,2b07e5a686b65ad56354f3895bac4edb6fad590a,SYNCOPE-152
2017-12-18T10:44:48Z,d783a23de5f2d4f13f9922d11518c9e31f520f1c,SYNCOPE-1253
2017-12-15T13:52:49Z,814fe4ae659b7c30137d87c83ac5cc2a50fae8fb,SYNCOPE-1247
2017-12-15T07:42:12Z,471c0fa67b68c37e8fe974b408079bc4e3c7c250,SYNCOPE-1249
2017-12-14T15:41:05Z,76c1140167e59386ad2854ffc7f5ba00fc21e503,SYNCOPE-1246
2017-12-14T13:08:23Z,265b2a7d7b72634716c58be8d9890a0244888367,SYNCOPE-1251
2017-12-13T11:38:27Z,3df09968936118ce9a36ac438a8d0a6bf498990b,SYNCOPE-1250
2017-12-13T09:28:55Z,a69afb927da75431d4963fbf62ee124da4f0aa3f,SYNCOPE-1250
2017-12-13T08:36:31Z,5d259daee8eb0753b686d1ce0de23b8b39c172de,SYNCOPE-152
2017-12-12T15:53:38Z,fba4a8bdcaea1b848852c4e4f7d6f6802a1d99fc,SYNCOPE-152
2017-12-12T00:21:28Z,87041307148d79b78a81ba0819f16bdc8a2401de,SYNCOPE-1248
