version,commit sha,jira_id,affected versions,fixed version,opening version,opening data,fixed data,commit file,added,deleted
1.0.6,4bd52c2e5ad478e7359be8549bdd5c43537864ed,SYNCOPE-315,1.0.5,1.0.6,1.0.6,2013-02-15T13:45:39.000+0000,2013-02-18T15:25:06.000+0000,console/src/main/java/org/apache/syncope/console/pages/AbstractSchedTaskModalPage.java console/src/main/java/org/apache/syncope/console/pages/ApprovalModalPage.java console/src/main/java/org/apache/syncope/console/pages/BaseModalPage.java console/src/main/java/org/apache/syncope/console/pages/Configuration.java console/src/main/java/org/apache/syncope/console/pages/ConfigurationModalPage.java console/src/main/java/org/apache/syncope/console/pages/ConnectorModalPage.java console/src/main/java/org/apache/syncope/console/pages/DerivedSchemaModalPage.java console/src/main/java/org/apache/syncope/console/pages/DisplayAttributesModalPage.java console/src/main/java/org/apache/syncope/console/pages/EditUserModalPage.java console/src/main/java/org/apache/syncope/console/pages/Login.java console/src/main/java/org/apache/syncope/console/pages/MembershipModalPage.java console/src/main/java/org/apache/syncope/console/pages/NotificationModalPage.java console/src/main/java/org/apache/syncope/console/pages/NotificationTaskModalPage.java console/src/main/java/org/apache/syncope/console/pages/PolicyModalPage.java console/src/main/java/org/apache/syncope/console/pages/PropagationTaskModalPage.java console/src/main/java/org/apache/syncope/console/pages/ReportModalPage.java console/src/main/java/org/apache/syncope/console/pages/ReportletConfModalPage.java console/src/main/java/org/apache/syncope/console/pages/Reports.java console/src/main/java/org/apache/syncope/console/pages/ResourceModalPage.java console/src/main/java/org/apache/syncope/console/pages/Resources.java console/src/main/java/org/apache/syncope/console/pages/RoleModalPage.java console/src/main/java/org/apache/syncope/console/pages/Roles.java console/src/main/java/org/apache/syncope/console/pages/Schema.java console/src/main/java/org/apache/syncope/console/pages/SchemaModalPage.java console/src/main/java/org/apache/syncope/console/pages/StatusModalPage.java console/src/main/java/org/apache/syncope/console/pages/SyncTaskModalPage.java console/src/main/java/org/apache/syncope/console/pages/TaskModalPage.java console/src/main/java/org/apache/syncope/console/pages/Tasks.java console/src/main/java/org/apache/syncope/console/pages/Todo.java console/src/main/java/org/apache/syncope/console/pages/UserModalPage.java console/src/main/java/org/apache/syncope/console/pages/Users.java console/src/main/java/org/apache/syncope/console/pages/VirtualSchemaModalPage.java console/src/main/java/org/apache/syncope/console/pages/panels/AbstractSearchResultPanel.java console/src/main/java/org/apache/syncope/console/pages/panels/DerivedAttributesPanel.java console/src/main/java/org/apache/syncope/console/pages/panels/MembershipsPanel.java console/src/main/java/org/apache/syncope/console/pages/panels/NotificationTasks.java console/src/main/java/org/apache/syncope/console/pages/panels/PoliciesPanel.java console/src/main/java/org/apache/syncope/console/pages/panels/PropagationTasks.java console/src/main/java/org/apache/syncope/console/pages/panels/ResourceConnConfPanel.java console/src/main/java/org/apache/syncope/console/pages/panels/ResourceMappingPanel.java console/src/main/java/org/apache/syncope/console/pages/panels/RolePanel.java console/src/main/java/org/apache/syncope/console/pages/panels/RoleSearchResultPanel.java console/src/main/java/org/apache/syncope/console/pages/panels/RoleTabPanel.java console/src/main/java/org/apache/syncope/console/pages/panels/SchedTasks.java console/src/main/java/org/apache/syncope/console/pages/panels/SelectOnlyUserSearchResultPanel.java console/src/main/java/org/apache/syncope/console/pages/panels/SyncTasks.java console/src/main/java/org/apache/syncope/console/pages/panels/UserSearchPanel.java console/src/main/java/org/apache/syncope/console/pages/panels/UserSearchResultPanel.java console/src/main/java/org/apache/syncope/console/pages/panels/VirtualAttributesPanel.java console/src/main/java/org/apache/syncope/console/rest/ApprovalRestClient.java console/src/main/java/org/apache/syncope/console/wicket/ajax/markup/html/ClearIndicatingAjaxButton.java console/src/main/java/org/apache/syncope/console/wicket/ajax/markup/html/ClearIndicatingAjaxLink.java console/src/main/java/org/apache/syncope/console/wicket/ajax/markup/html/IndicatingDeleteOnConfirmAjaxLink.java console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/ActionLinksPanel.java console/src/main/java/org/apache/syncope/console/wicket/markup/html/tree/TreeActionLinkPanel.java,9 2 1 25 5 3 9 11 3 7 2 7 3 6 3 43 11 8 5 9 13 3 4 20 11 2 14 2 2 10 6 14 8 8 6 13 11 8 6 7 6 33 8 11 6 12 0 1 26 0 69 54 7 30 12,14 2 1 25 3 5 14 16 3 5 2 11 2 5 2 44 14 8 5 11 19 3 5 18 17 2 12 2 2 11 7 19 8 6 6 10 12 7 5 10 3 32 12 12 6 13 1 1 26 1 0 0 7 26 12
1.0.6,db73f1018ec4a4645c45c3a0fcf6c69f8a7cafd8,SYNCOPE-315,1.0.5,1.0.6,1.0.6,2013-02-15T13:45:39.000+0000,2013-02-18T15:25:06.000+0000,console/src/main/java/org/apache/syncope/console/pages/ResourceModalPage.java console/src/main/java/org/apache/syncope/console/pages/panels/ResourceConnConfPanel.java console/src/main/java/org/apache/syncope/console/pages/panels/ResourceMappingPanel.java,1 4 1,1 6 1
1.0.6,ec16475054bf7292a62909df7863ca44dffa62e1,SYNCOPE-315,1.0.5,1.0.6,1.0.6,2013-02-15T13:45:39.000+0000,2013-02-18T15:25:06.000+0000,console/src/main/java/org/apache/syncope/console/pages/ResourceModalPage.java console/src/main/java/org/apache/syncope/console/pages/panels/ResourceMappingPanel.java console/src/main/java/org/apache/syncope/console/rest/ConnectorRestClient.java,2 4 5,2 7 4
1.0.6,dd81cbff9f7a25f11b26c5c2c43b9c2d2ff4a13b,SYNCOPE-316,1.0.5,1.0.6,1.0.6,2013-02-18T08:23:44.000+0000,2013-02-18T11:14:24.000+0000,console/src/main/java/org/apache/syncope/console/rest/ConnectorRestClient.java,1,1
1.0.6,3fb90f478fbc16b061f078d94b8ae028d87b084b,SYNCOPE-318,1.0.6  1.0.7,1.1.0,1.0.6,2013-02-19T10:08:20.000+0000,2013-02-27T14:38:38.000+0000,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/FieldPanel.java,1,0
1.0.6,15202675bb8f5642b23cc02b647ab4f89382a1a8,SYNCOPE-322,1.0.6  1.0.7,1.1.0,1.0.6,2013-02-22T11:15:32.000+0000,2013-02-22T15:44:35.000+0000,,,
1.0.6,da93d10e824868d652dbbd647253e60e4cf4e07e,SYNCOPE-323,1.0.5  1.0.6  1.0.7,1.1.0,1.0.6,2013-02-22T13:33:19.000+0000,2013-02-22T16:32:27.000+0000,client/src/main/java/org/apache/syncope/client/rest/utils/RestClientExceptionMapper.java common/src/main/java/org/apache/syncope/common/types/SyncopeClientExceptionType.java common/src/main/java/org/apache/syncope/common/validation/SyncopeClientCompositeErrorException.java common/src/main/java/org/apache/syncope/common/validation/SyncopeClientErrorHandler.java console/src/main/java/org/apache/syncope/console/pages/SchemaModalPage.java core/src/main/java/org/apache/syncope/core/rest/controller/ConnInstanceController.java core/src/main/java/org/apache/syncope/core/rest/controller/DerivedSchemaController.java core/src/main/java/org/apache/syncope/core/rest/controller/ResourceController.java core/src/main/java/org/apache/syncope/core/rest/controller/SchemaController.java core/src/main/java/org/apache/syncope/core/rest/controller/VirtualSchemaController.java core/src/main/java/org/apache/syncope/core/rest/utils/RestServiceExceptionMapper.java core/src/test/java/org/apache/syncope/core/rest/DerivedSchemaTestITCase.java core/src/test/java/org/apache/syncope/core/rest/ResourceTestITCase.java core/src/test/java/org/apache/syncope/core/rest/SchemaTestITCase.java core/src/test/java/org/apache/syncope/core/rest/VirtualSchemaTestITCase.java,2 2 2 3 5 4 27 22 24 25 9 27 23 24 29,2 1 2 1 5 5 7 3 2 3 2 2 1 2 1
1.0.6,10182b41907082966302880aacb9350d0d957566,SYNCOPE-325,1.0.5,1.0.6,1.0.6,2013-02-25T10:05:33.000+0000,2013-02-25T10:08:34.000+0000,,,
1.0.6,5de9702f07815f52b1adda625e8d68139cecf295,SYNCOPE-327,1.0.6  1.0.7,1.1.0,1.0.6,2013-02-27T16:46:55.000+0000,2013-03-01T16:23:15.000+0000,build-tools/src/main/java/org/apache/syncope/buildtools/H2StartStopListener.java,8,9
1.0.7,bb9033956c9f5948628d4e2f2776fc0409533166,SYNCOPE-327,1.0.6  1.0.7,1.1.0,1.0.6,2013-02-27T16:46:55.000+0000,2013-03-01T16:23:15.000+0000,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/DateTimeFieldPanel.java core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractAttrValue.java core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractBaseBean.java core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractSchema.java core/src/main/java/org/apache/syncope/core/report/AbstractReportlet.java core/src/main/java/org/apache/syncope/core/report/StaticReportlet.java core/src/main/java/org/apache/syncope/core/report/UserReportlet.java core/src/main/java/org/apache/syncope/core/util/DataFormat.java core/src/main/java/org/apache/syncope/core/util/ImportExport.java core/src/main/java/org/apache/syncope/core/util/JexlUtil.java,0 19 0 0 0 2 6 132 4 1,12 36 25 38 11 1 5 0 16 2
